Name,Lifetime,Nationality,Notable as,Notes
Maurice Vellekoop,b. 1964,Canadian,Illustrator and comics artist.,G
Nichi Vendola,b. 1958,Italian,Politician,G
Anthony Venn-Brown,b. 1951,Australian,"Author, former evangelist",G
Gerda Verburg,b. 1957,Dutch,Politician,L
Paul Verlaine,1844–1896,French,Poet,B
Rob Verlinden,b. 1950,Dutch,Television personality,G
Reg Vermue,b. ?,Canadian,Rock musician,G
Jim Verraros,b. 1983,American,"Pop musician, reality show contestant",G
Nick Verreos,b. 1967,American,Fashion designer,G
Gianni Versace,1946–1997,Italian,Fashion designer,G
