Player,HR,Date reached 500 HR,Team,Seasons played
Barry Bonds,762,"April 17, 2001",San Francisco Giants,1986–2007
Hank Aaron,755,"July 14, 1968",Atlanta Braves,1954–1976
Babe Ruth,714,"August 11, 1929",New York Yankees,1914–1935
Willie Mays,660,"September 13, 1965",San Francisco Giants,"1951–1952,1954–1973"
Alex Rodriguez,654,"August 4, 2007",New York Yankees,1994–
"Ken Griffey, Jr.",630,"June 20, 2004",Cincinnati Reds,1989–2010
Jim Thome,612,"September 16, 2007",Chicago White Sox,1991–2012
Sammy Sosa,609,"April 4, 2003",Chicago Cubs,"1989–2005,2007"
Frank Robinson,586,"September 13, 1971",Baltimore Orioles,1956–1976
Mark McGwire,583,"August 5, 1999",St. Louis Cardinals,1986–2001
Harmon Killebrew,573,"August 10, 1971",Minnesota Twins,1954–1975
Rafael Palmeiro,569,"May 11, 2003",Texas Rangers,1986–2005
Reggie Jackson,563,"September 17, 1984",California Angels,1967–1987
