Name,Type,R.A. (J2000),Dec. (J2000),Redshift (km/s),Apparent Magnitude,Random_Column_1
NGC 1515,SAB(s)bc,04h 04m 02.7s,−54° 06′ 00″,1175 ± 7,12.1,VemP3Y
NGC 1522,(R')S00: pec,04h 06m 07.9s,−52° 40′ 06″,898 ± 7,13.9,OjYLUZm
ESO 118-019,S00 pec,04h 18m 59.5s,−58° 15′ 27″,1239,14.9,T1yIF3j
ESO 157-030,E4,04h 27m 32.6s,−54° 11′ 48″,1471 ± 28,14.7,bvyxQEd
ESO 157-047,S0/a? pec sp,04h 39m 19.1s,−54° 12′ 41″,1655 ± 10,15.5,rZvqZko
ESO 157-049,S?,04h 39m 36.9s,−53° 00′ 46″,1678 ± 5,14.3,eFTlhY
IC 2085,S00 pec sp,04h 31m 24.2s,−54° 25′ 01″,982 ± 10,13.9,ECh2y4x
NGC 1549,E0−1,04h 15m 45.1s,−55° 35′ 32″,1220 ± 15,10.7,1mHh6b
NGC 1553,SA(rl)00,04h 16m 10.5s,−55° 46′ 49″,1080 ± 11,10.3,mYCWY1
NGC 1574,SA0-,04h 21m 58.8s,−56° 58′ 29″,1050 ± 25,11.4,pjL7b
NGC 1581,S0-,04h 24m 44.9s,−54° 56′ 31″,1600 ± 27,13.6,SnJa2T
NGC 1617,(R')SAB(rs)a,04h 31m 39.5s,−54° 36′ 08″,1063 ± 21,11.4,PYmH6
Abell 3202,Irregular,04h 01m 15.2s,−53° 29′ 23″,1135 ± 40,16.9,RZYQoUMd
