Name,Type,R.A. (J2000),Dec. (J2000),Redshift (km/s),Apparent Magnitude
IC 2049,SAB(s)d?,04h 12m 04.3s,−58° 33′ 25″,1469 ± 7,14.5
NGC 1536,SB(s)c pec,04h 10m 59.8s,−56° 28′ 50″,1217 ± 13,13.2
NGC 1543,(R)SB(l)00,04h 12m 43.2s,−57° 44′ 17″,1176 ± 7,11.5
LSBG F157-081,Irregular,04h 27m 13.7s,−57° 25′ 42″,1215 ± 7,16.7
NGC 1533,(L)SB(rs)00,04h 09m 51.8s,−56° 07′ 06″,790 ± 5,11.7
IC 2038,Sd pec,04h 08m 53.7s,−55° 59′ 22″,712 ± 52,15.5
APMBGC 157+016+068,Irregular,04h 22m 51.7s,−56° 13′ 39″,1350 ± 4,16.3
NGC 1546,SA0+?,04h 14m 36.5s,−56° 03′ 39″,1284 ± 14,11.8
IC 2058,Sc,04h 17m 54.3s,−55° 55′ 58″,1379 ± 1,13.9
IC 2032,IAB(s)m pec,04h 07m 03.0s,−55° 19′ 26″,1068 ± 7,14.7
NGC 1566,(R'_1)SAB(rs)bcSy1,04h 20m 00.4s,−54° 56′ 16″,1504 ± 2,10.3
NGC 1596,SA0: sp,04h 27m 38.1s,−55° 01′ 40″,1510 ± 8,12.1
NGC 1602,IB(s)m pec,04h 27m 55.0s,−55° 03′ 28″,1568 ± 8,13.3
