#,Date,Venue,Opponent,Score,Result,Competition,Unused_1,Filler_2,Dummy_Col_3
25,26 March 2008,"St. Jakob Park, Basel, Switzerland",Switzerland,4–0,4–0,Friendly,,Yuouvi,kPHwQrmd
26,8 June 2008,"Wörthersee Stadion, Klagenfurt, Austria",Poland,1–0,2–0,UEFA Euro 2008,,YybjD,lwBlKT
27,8 June 2008,"Wörthersee Stadion, Klagenfurt, Austria",Poland,2–0,2–0,UEFA Euro 2008,,OmVWe,QxHfnLFy
28,12 June 2008,"Wörthersee Stadion, Klagenfurt, Austria",Croatia,1–2,1–2,UEFA Euro 2008,,qPIXp,xRqeiWzf
29,6 September 2008,"Rheinpark Stadion, Vaduz, Liechtenstein",Liechtenstein,1–0,6–0,FIFA World Cup 2010 qualifying,,YkXXMXv,ITOouiS
30,6 September 2008,"Rheinpark Stadion, Vaduz, Liechtenstein",Liechtenstein,2–0,6–0,FIFA World Cup 2010 qualifying,,WTPIVss,ZPHdtm
31,11 October 2008,"Signal Iduna Park, Dortmund, Germany",Russia,1–0,2–1,FIFA World Cup 2010 qualifying,,igMOq,zgnOCro
32,28 March 2009,"Zentralstadion, Leipzig, Germany",Liechtenstein,4–0,4–0,FIFA World Cup 2010 qualifying,,bDaaXJT,VwBNE
33,29 May 2009,"Shanghai Stadium, Shanghai, China",China PR,1–1,1–1,Friendly,,dlSlv,sBPWLczO
34,9 September 2009,"AWD-Arena, Hanover, Germany",Azerbaijan,4–0,4–0,FIFA World Cup 2010 qualifying,,bTMHSVdY,gIqCh
35,14 October 2009,"HSH Nordbank Arena, Hamburg, Germany",Finland,1–1,1–1,FIFA World Cup 2010 qualifying,,brMOdV,iUAImnnT
