#,Date,Venue,Opponent,Score,Result,Competition
13,20 June 2006,"Olympiastadion Berlin, Berlin, Germany",Ecuador,3–0,3–0,FIFA World Cup 2006
14,24 June 2006,"Allianz Arena, Munich, Germany",Sweden,1–0,2–0,FIFA World Cup 2006
15,24 June 2006,"Allianz Arena, Munich, Germany",Sweden,2–0,2–0,FIFA World Cup 2006
16,2 September 2006,"Gottlieb Daimler Stadion, Stuttgart, Germany",Republic of Ireland,1–0,1–0,UEFA Euro 2008 qualifying
17,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,1–0,13–0,UEFA Euro 2008 qualifying
18,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,5–0,13–0,UEFA Euro 2008 qualifying
19,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,8–0,13–0,UEFA Euro 2008 qualifying
20,6 September 2006,"Stadio Olimpico, Serravalle, San Marino",San Marino,10–0,13–0,UEFA Euro 2008 qualifying
21,11 October 2006,"Tehelné Pole Stadion, Bratislava, Slovakia",Slovakia,1–0,4–1,UEFA Euro 2008 qualifying
22,11 October 2006,"Tehelné Pole Stadion, Bratislava, Slovakia",Slovakia,4–1,4–1,UEFA Euro 2008 qualifying
23,12 September 2007,"Rhein-Energie Stadion, Cologne, Germany",Romania,3–1,3–1,Friendly
24,17 November 2007,"AWD Arena, Hanover, Germany",Cyprus,3–0,4–0,UEFA Euro 2008 qualifying
