Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion
5°59′18″S 36°24′47″W﻿ / ﻿5.98833°S 36.41306°W,Bodó,253.513 (97.881),"2,425",Central Potiguar,Serra de Santana
5°59′2″S 35°34′53″W﻿ / ﻿5.98389°S 35.58139°W,Bom Jesus,122.033 (47.117),"9,432",Agreste Potiguar,Agreste Potiguar
6°11′27″S 35°21′24″W﻿ / ﻿6.19083°S 35.35667°W,Brejinho,58.528 (22.598),"11,577",Agreste Potiguar,Agreste Potiguar
5°3′52″S 36°3′21″W﻿ / ﻿5.06444°S 36.05583°W,Caiçara do Norte,189.415 (73.133),"6,016",Central Potiguar,Macau
5°45′37″S 35°59′54″W﻿ / ﻿5.76028°S 35.99833°W,Caiçara do Rio do Vento,261.191 (100.846),"3,304",Central Potiguar,Angicos
6°27′30″S 37°5′52″W﻿ / ﻿6.45833°S 37.09778°W,Caicó,"1,228.574 (474.352)","62,727",Central Potiguar,Seridó Ocidental
5°51′50″S 37°18′36″W﻿ / ﻿5.86389°S 37.31000°W,Campo Grande,896.962 (346.317),"9,289",Oeste Potiguar,Médio Oeste
6°14′29″S 36°10′57″W﻿ / ﻿6.24139°S 36.18250°W,Campo Redondo,213.629 (82.482),"10,266",Agreste Potiguar,Borborema Potiguar
6°22′48″S 35°7′44″W﻿ / ﻿6.38000°S 35.12889°W,Canguaretama,245.529 (94.799),"30,900",Leste Potiguar,Litoral Sul
5°47′33″S 37°33′24″W﻿ / ﻿5.79250°S 37.55667°W,Caraúbas,"1,095.001 (422.780)","19,582",Oeste Potiguar,Chapada do Apodi
6°33′20″S 36°35′42″W﻿ / ﻿6.55556°S 36.59500°W,Carnaúba dos Dantas,245.648 (94.845),"7,429",Central Potiguar,Seridó Oriental
5°20′24″S 36°50′24″W﻿ / ﻿5.34000°S 36.84000°W,Carnaubais,529.835 (204.569),"9,775",Oeste Potiguar,Vale do Açu
5°38′4″S 35°25′2″W﻿ / ﻿5.63444°S 35.41722°W,Ceará-Mirim,739.686 (285.593),"67,844",Leste Potiguar,Macaíba
6°2′44″S 36°20′45″W﻿ / ﻿6.04556°S 36.34583°W,Cerro Corá,393.569 (151.957),"10,916",Central Potiguar,Serra de Santana
6°22′57″S 36°12′53″W﻿ / ﻿6.38250°S 36.21472°W,Coronel Ezequiel,185.752 (71.719),"5,405",Agreste Potiguar,Borborema Potiguar
6°15′35″S 38°26′37″W﻿ / ﻿6.25972°S 38.44361°W,Coronel João Pessoa,117.140 (45.228),"4,774",Oeste Potiguar,Serra de São Miguel
6°24′42″S 36°47′23″W﻿ / ﻿6.41167°S 36.78972°W,Cruzeta,295.829 (114.220),"7,968",Central Potiguar,Seridó Oriental
