Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion
6°26′29″S 35°46′57″W﻿ / ﻿6.44139°S 35.78250°W,Monte das Gameleiras,71.945 (27.778),"2,266",Agreste Potiguar,Borborema Potiguar
5°11′15″S 37°20′39″W﻿ / ﻿5.18750°S 37.34417°W,Mossoró,"2,110.207 (814.751)","259,886",Oeste Potiguar,Mossoró
5°47′42″S 35°12′34″W﻿ / ﻿5.79500°S 35.20944°W,Natal,170.298 (65.752),"803,811",Leste Potiguar,Natal
6°5′28″S 35°12′31″W﻿ / ﻿6.09111°S 35.20861°W,Nísia Floresta,306.051 (118.166),"23,818",Leste Potiguar,Macaíba
6°28′41″S 35°26′2″W﻿ / ﻿6.47806°S 35.43389°W,Nova Cruz,277.657 (107.203),"35,541",Agreste Potiguar,Agreste Potiguar
5°57′23″S 37°42′20″W﻿ / ﻿5.95639°S 37.70556°W,Olho-d'Água do Borges,141.170 (54.506),"4,301",Oeste Potiguar,Umarizal
6°42′4″S 36°56′44″W﻿ / ﻿6.70111°S 36.94556°W,Ouro Branco,253.300 (97.799),"4,699",Central Potiguar,Seridó Oriental
6°29′11″S 38°18′47″W﻿ / ﻿6.48639°S 38.31306°W,Paraná,81.390 (31.425),"3,952",Oeste Potiguar,Pau dos Ferros
5°46′28″S 37°6′5″W﻿ / ﻿5.77444°S 37.10139°W,Paraú,410.858 (158.632),"3,862",Oeste Potiguar,Médio Oeste
5°13′23″S 35°50′18″W﻿ / ﻿5.22306°S 35.83833°W,Parazinho,274.668 (106.057),"4,845",Agreste Potiguar,Baixa Verde
6°41′16″S 36°39′27″W﻿ / ﻿6.68778°S 36.65750°W,Parelhas,513.052 (198.089),"20,670",Central Potiguar,Seridó Ocidental
5°54′56″S 35°15′46″W﻿ / ﻿5.91556°S 35.26278°W,Parnamirim,120.202 (46.410),"202,413",Leste Potiguar,Natal
6°26′8″S 35°38′36″W﻿ / ﻿6.43556°S 35.64333°W,Passa e Fica,42.137 (16.269),"11,111",Agreste Potiguar,Agreste Potiguar
6°16′44″S 35°22′39″W﻿ / ﻿6.27889°S 35.37750°W,Passagem,41.235 (15.921),"2,899",Agreste Potiguar,Agreste Potiguar
6°6′36″S 37°18′12″W﻿ / ﻿6.11000°S 37.30333°W,Patu,319.932 (123.526),"11,964",Oeste Potiguar,Umarizal
6°6′33″S 38°12′16″W﻿ / ﻿6.10917°S 38.20444°W,Pau dos Ferros,259.960 (100.371),"27,733",Oeste Potiguar,Pau dos Ferros
5°9′1″S 35°52′44″W﻿ / ﻿5.15028°S 35.87889°W,Pedra Grande,221.429 (85.494),"3,521",Leste Potiguar,Litoral Nordeste
