Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion
5°29′54″S 36°51′18″W﻿ / ﻿5.49833°S 36.85500°W,Ipanguaçu,374.239 (144.494),"13,855",Oeste Potiguar,Vale do Açu
6°48′51″S 37°11′56″W﻿ / ﻿6.81417°S 37.19889°W,Ipueira,127.347 (46.169),"2,074",Central Potiguar,Seridó Ocidental
5°38′39″S 36°52′17″W﻿ / ﻿5.64417°S 36.87139°W,Itajá,203.623 (78.619),"6,952",Oeste Potiguar,Vale do Açu
5°50′23″S 37°59′24″W﻿ / ﻿5.83972°S 37.99000°W,Itaú,133.032 (51.364),"5,568",Oeste Potiguar,Pau dos Ferros
6°25′33″S 36°12′18″W﻿ / ﻿6.42583°S 36.20500°W,Jaçanã,54.558 (21.065),"7,925",Agreste Potiguar,Borborema Potiguar
5°21′23″S 36°7′41″W﻿ / ﻿5.35639°S 36.12806°W,Jandaíra,435.678 (168.215),"6,796",Agreste Potiguar,Baixa Verde
6°00′56″S 37°24′32″W﻿ / ﻿6.01556°S 37.40889°W,Janduís,304.899 (117.722),"5,350",Oeste Potiguar,Médio Oeste
6°27′54″S 35°56′48″W﻿ / ﻿6.46500°S 35.94667°W,Japi,188.990 (72.969),"5,522",Agreste Potiguar,Borborema Potiguar
5°39′13″S 35°58′8″W﻿ / ﻿5.65361°S 35.96889°W,Jardim de Angicos,254.045 (98.087),"2,607",Central Potiguar,Angicos
6°22′43″S 37°21′7″W﻿ / ﻿6.37861°S 37.35194°W,Jardim de Piranhas,330.553 (127.627),"13,511",Central Potiguar,Seridó Ocidental
6°35′4″S 36°46′28″W﻿ / ﻿6.58444°S 36.77444°W,Jardim do Seridó,368.643 (142.333),"12,115",Central Potiguar,Seridó Oriental
5°32′15″S 35°49′11″W﻿ / ﻿5.53750°S 35.81972°W,João Câmara,714.951 (276.043),"32,203",Agreste Potiguar,Baixa Verde
6°16′28″S 37°47′46″W﻿ / ﻿6.27444°S 37.79611°W,João Dias,88.173 (34.044),"2,601",Oeste Potiguar,Umarizal
6°19′0″S 38°16′53″W﻿ / ﻿6.31667°S 38.28139°W,José da Penha,117.634 (45.418),"5,868",Oeste Potiguar,Pau dos Ferros
6°2′2″S 37°1′13″W﻿ / ﻿6.03389°S 37.02028°W,Jucurutu,933.718 (360.509),"17,692",Oeste Potiguar,Vale do Açu
6°16′19″S 35°19′37″W﻿ / ﻿6.27194°S 35.32694°W,Jundiá,45.261 (17.475),"3,585",Agreste Potiguar,Agreste Potiguar
6°26′28″S 35°35′54″W﻿ / ﻿6.44111°S 35.59833°W,Lagoa d'Anta,105.650 (40.791),"6,227",Agreste Potiguar,Agreste Potiguar
