Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion,Irrelevant_1,Dummy_Col_2
6°26′8″S 36°38′20″W﻿ / ﻿6.43556°S 36.63889°W,Acari,608.565 (234.967),"11,035",Central Potiguar,Seridó Oriental,Xz2n8h9L,sAHWPN
5°29′54″S 36°30′20″W﻿ / ﻿5.49833°S 36.50556°W,Afonso Bezerra,576.248 (222.489),"10,879",Central Potiguar,Angicos,0Lp7zdAA,WpMeHYL
6°12′33″S 38°17′50″W﻿ / ﻿6.20917°S 38.29722°W,Água Nova,50.683 (19.569),"2,984",Oeste Potiguar,Serra de São Miguel,YlYNdB6,kRbohRTC
6°24′45″S 38°0′57″W﻿ / ﻿6.41250°S 38.01583°W,Alexandria,381.202 (147.182),"13,475",Oeste Potiguar,Pau dos Ferros,FQodj,CWMZlU
6°9′8″S 37°45′58″W﻿ / ﻿6.15222°S 37.76611°W,Almino Afonso,128.029 (49.432),"4,880",Oeste Potiguar,Umarizal,IHwI0v,LGIqRcI
5°17′18″S 36°45′44″W﻿ / ﻿5.28833°S 36.76222°W,Alto do Rodrigues,191.311 (73.865),"12,306",Oeste Potiguar,Vale do Açu,ICoeAekO,VoJwJGW
5°39′56″S 36°36′4″W﻿ / ﻿5.66556°S 36.60111°W,Angicos,741.654 (286.353),"11,553",Central Potiguar,Angicos,c5D3ti,zYTLFR
6°12′46″S 37°54′20″W﻿ / ﻿6.21278°S 37.90556°W,Antônio Martins,244.620 (94.448),"6,907",Oeste Potiguar,Umarizal,bGEWQ,uDkmcKcr
5°39′51″S 37°47′56″W﻿ / ﻿5.66417°S 37.79889°W,Apodi,"1,602.659 (618.787)","34,777",Oeste Potiguar,Chapada do Apodi,jPfPyFAW,UOufUiw
4°57′22″S 37°8′13″W﻿ / ﻿4.95611°S 37.13694°W,Areia Branca,357.580 (138.062),"25,263",Oeste Potiguar,Mossoró,o3K072,GKxAtrsW
6°11′40″S 35°9′37″W﻿ / ﻿6.19444°S 35.16028°W,Arês,112.584 (43.469),"12,931",Leste Potiguar,Litoral Sul,AXqonDy,ScCcqMav
5°34′36″S 36°54′31″W﻿ / ﻿5.57667°S 36.90861°W,Assu,"1,269.235 (490.052)","53,245",Oeste Potiguar,Vale do Açu,SzdT90q,kZauh
6°22′10″S 35°0′28″W﻿ / ﻿6.36944°S 35.00778°W,Baía Formosa,245.510 (94.791),"8,569",Leste Potiguar,Litoral Sul,7B1WXc,eNbgGwl
5°4′48″S 37°37′0″W﻿ / ﻿5.08000°S 37.61667°W,Baraúna,825.802 (318.842),"24,187",Oeste Potiguar,Mossoró,PWwRY,CtGWTpbx
5°52′2″S 35°55′35″W﻿ / ﻿5.86722°S 35.92639°W,Barcelona,152.629 (58.930),"3,957",Agreste Potiguar,Borborema Potiguar,rrkp2,kryWywv
5°41′38″S 35°49′11″W﻿ / ﻿5.69389°S 35.81972°W,Bento Fernandes,301.075 (116.245),"5,110",Agreste Potiguar,Baixa Verde,p8KAis,OwNob
6°9′30″S 35°36′2″W﻿ / ﻿6.15833°S 35.60056°W,Boa Saúde,187.211 (72.282),"9,009",Agreste Potiguar,Agreste Potiguar,XsRDQMh2,inMar
