Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion,Irrelevant_1
5°53′42″S 35°45′46″W﻿ / ﻿5.89500°S 35.76278°W,São Paulo do Potengi,240.435 (92.832),"15,866",Agreste Potiguar,Agreste Potiguar,2ChN8
5°53′53″S 35°38′4″W﻿ / ﻿5.89806°S 35.63444°W,São Pedro,195.238 (75.381),"6,223",Agreste Potiguar,Agreste Potiguar,2L3BM
5°47′58″S 36°55′14″W﻿ / ﻿5.79944°S 36.92056°W,São Rafael,469.096 (181.118),"8,106",Oeste Potiguar,Vale do Açu,qWHvDw
5°58′21″S 36°4′31″W﻿ / ﻿5.97250°S 36.07528°W,São Tomé,862.577 (333.041),"10,868",Agreste Potiguar,Borborema Potiguar,jG4AIgN6
6°13′2″S 36°41′4″W﻿ / ﻿6.21722°S 36.68444°W,São Vicente,197.814 (76.376),"6,030",Central Potiguar,Serra de Santana,0EECNmfZ
6°2′8″S 35°41′34″W﻿ / ﻿6.03556°S 35.69278°W,Senador Elói de Souza,167.592 (64.707),"5,645",Agreste Potiguar,Agreste Potiguar,30L0gq
6°9′46″S 35°7′21″W﻿ / ﻿6.16278°S 35.12250°W,Senador Georgino Avelino,26.383 (10.186),"3,924",Leste Potiguar,Litoral Sul,6Nyv5
6°6′21″S 35°42′46″W﻿ / ﻿6.10583°S 35.71278°W,Serra Caiada,167.348 (64.613),"8,774",Agreste Potiguar,Agreste Potiguar,6dlQpTdI
6°25′2″S 35°42′16″W﻿ / ﻿6.41722°S 35.70444°W,Serra de São Bento,96.635 (37.311),"5,746",Agreste Potiguar,Borborema Potiguar,oazZpuV
5°10′12″S 37°1′46″W﻿ / ﻿5.17000°S 37.02944°W,Serra do Mel,616.509 (238.034),"10,281",Oeste Potiguar,Mossoró,BuP5X
6°39′56″S 37°23′50″W﻿ / ﻿6.66556°S 37.39722°W,Serra Negra do Norte,562.935 (217.349),"7,770",Central Potiguar,Seridó Ocidental,5pVy0
6°16′34″S 35°29′56″W﻿ / ﻿6.27611°S 35.49889°W,Serrinha,193.352 (74.653),"6,581",Agreste Potiguar,Agreste Potiguar,KVKpA
6°6′36″S 37°57′23″W﻿ / ﻿6.11000°S 37.95639°W,Serrinha dos Pintos,122.644 (47.353),"4,538",Oeste Potiguar,Umarizal,XjuzFPpN
5°46′38″S 37°57′28″W﻿ / ﻿5.77722°S 37.95778°W,Severiano Melo,157.833 (60.939),"5,752",Oeste Potiguar,Pau dos Ferros,nztaW
6°6′14″S 35°54′40″W﻿ / ﻿6.10389°S 35.91111°W,Sítio Novo,213.470 (82.421),"5,020",Agreste Potiguar,Borborema Potiguar,juTsgz
5°55′48″S 38°2′42″W﻿ / ﻿5.93000°S 38.04500°W,Taboleiro Grande,124.094 (47.913),"2,317",Oeste Potiguar,Pau dos Ferros,lukee
