Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion,Noise_Field_1,Dummy_Col_2,Extra_Data_3
5°34′57″S 36°6′17″W﻿ / ﻿5.58250°S 36.10472°W,Pedra Preta,294.979 (113.891),"2,583",Central Potiguar,Angicos,nJlmn,uJXRJyTQ,343
5°31′18″S 36°23′17″W﻿ / ﻿5.52167°S 36.38806°W,Pedro Avelino,952.688 (367.833),"7,168",Central Potiguar,Angicos,mOTkv,BJQTgGab,156
6°26′21″S 35°13′17″W﻿ / ﻿6.43917°S 35.22139°W,Pedro Velho,192.707 (74.404),"14,119",Leste Potiguar,Litoral Sul,HBZRNm,zNGxtrh,683
5°15′36″S 36°43′20″W﻿ / ﻿5.26000°S 36.72222°W,Pendências,419.141 (161.830),"13,436",Oeste Potiguar,Vale do Açu,LEOmw,ALxVABmz,333
6°16′7″S 38°2′36″W﻿ / ﻿6.26861°S 38.04333°W,Pilões,82.691 (31.927),"3,453",Oeste Potiguar,Pau dos Ferros,EZqJgbIF,IoSgZN,713
5°37′22″S 35°39′46″W﻿ / ﻿5.62278°S 35.66278°W,Poço Branco,230.730 (89.085),"13,947",Agreste Potiguar,Baixa Verde,jqkfbeZI,dRqCaH,729
6°1′26″S 37°59′16″W﻿ / ﻿6.02389°S 37.98778°W,Portalegre,110.052 (42.491),"7,297",Oeste Potiguar,Pau dos Ferros,ATBrldE,pTrTyClU,436
5°4′4″S 36°46′54″W﻿ / ﻿5.06778°S 36.78167°W,Porto do Mangue,418.636 (161.635),"5,217",Oeste Potiguar,Vale do Açu,tGUfwSKx,KVBVhE,860
5°28′1″S 35°33′22″W﻿ / ﻿5.46694°S 35.55611°W,Pureza,504.317 (194.717),"8,432",Leste Potiguar,Litoral Nordeste,QuAzBV,ziHyiU,169
6°11′41″S 38°13′33″W﻿ / ﻿6.19472°S 38.22583°W,Rafael Fernandes,78.230 (30.205),"4,692",Oeste Potiguar,Pau dos Ferros,mUnNa,GMINwlb,560
6°4′32″S 37°43′0″W﻿ / ﻿6.07556°S 37.71667°W,Rafael Godeiro,100.073 (38.638),"3,070",Oeste Potiguar,Umarizal,codsdjLF,hpfvJEUM,893
5°56′11″S 37°56′47″W﻿ / ﻿5.93639°S 37.94639°W,Riacho da Cruz,127.221 (49.120),"3,165",Oeste Potiguar,Pau dos Ferros,kRTgVVW,CQBhXNHr,380
6°15′48″S 38°18′56″W﻿ / ﻿6.26333°S 38.31556°W,Riacho de Santana,128.104 (49.461),"4,157",Oeste Potiguar,Serra de São Miguel,jZSZoK,gBzVGh,869
5°48′54″S 35°49′30″W﻿ / ﻿5.81500°S 35.82500°W,Riachuelo,262.873 (101.495),"7,067",Agreste Potiguar,Agreste Potiguar,RIVdsbY,RsPhS,163
5°16′22″S 35°22′59″W﻿ / ﻿5.27278°S 35.38306°W,Rio do Fogo,150.282 (58.024),"10,060",Leste Potiguar,Litoral Nordeste,pGDoOz,gsggh,216
5°47′17″S 38°3′36″W﻿ / ﻿5.78806°S 38.06000°W,Rodolfo Fernandes,154.840 (59.784),"4,417",Oeste Potiguar,Pau dos Ferros,SGFPoQ,fLxHKZmi,118
5°52′53″S 35°56′5″W﻿ / ﻿5.88139°S 35.93472°W,Ruy Barbosa,125.813 (48.576),"3,595",Agreste Potiguar,Borborema Potiguar,diIlEG,yjWeSpjd,315
