Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion
6°8′57″S 35°26′16″W﻿ / ﻿6.14917°S 35.43778°W,Lagoa de Pedras,117.660 (45.429),"6,992",Agreste Potiguar,Agreste Potiguar
6°0′14″S 35°52′18″W﻿ / ﻿6.00389°S 35.87167°W,Lagoa de Velhos,112.832 (43.564),"2,632",Agreste Potiguar,Borborema Potiguar
6°7′16″S 35°28′38″W﻿ / ﻿6.12111°S 35.47722°W,Lagoa Nova,176.299 (68.069),"13,990",Central Potiguar,Serra de Santana
6°7′15″S 35°28′38″W﻿ / ﻿6.12083°S 35.47722°W,Lagoa Salgada,79.515 (30.701),"7,515",Agreste Potiguar,Agreste Potiguar
5°42′0″S 36°14′41″W﻿ / ﻿5.70000°S 36.24472°W,Lajes,676.417 (261.165),"10,385",Central Potiguar,Angicos
6°9′1″S 36°7′2″W﻿ / ﻿6.15028°S 36.11722°W,Lajes Pintadas,120.308 (46.451),"4,614",Agreste Potiguar,Borborema Potiguar
6°7′12″S 37°48′56″W﻿ / ﻿6.12000°S 37.81556°W,Lucrécia,30.935 (11.944),"3,633",Oeste Potiguar,Umarizal
6°24′50″S 38°23′19″W﻿ / ﻿6.41389°S 38.38861°W,Luís Gomes,166.637 (64.235),"9,612",Oeste Potiguar,Serra de São Miguel
5°51′30″S 35°21′14″W﻿ / ﻿5.85833°S 35.35389°W,Macaíba,512.487 (197.871),"69,538",Leste Potiguar,Macaíba
5°6′54″S 36°38′4″W﻿ / ﻿5.11500°S 36.63444°W,Macau,788.022 (304.255),"28,974",Central Potiguar,Macau
6°24′22″S 38°19′26″W﻿ / ﻿6.40611°S 38.32389°W,Major Sales,31.971 (12.344),"3,536",Oeste Potiguar,Serra de São Miguel
6°17′39″S 38°10′2″W﻿ / ﻿6.29417°S 38.16722°W,Marcelino Vieira,345.707 (133.477),"8,265",Oeste Potiguar,Pau dos Ferros
6°5′16″S 37°54′40″W﻿ / ﻿6.08778°S 37.91111°W,Martins,169.446 (65.423),"8,228",Oeste Potiguar,Umarizal
5°31′2″S 35°15′23″W﻿ / ﻿5.51722°S 35.25639°W,Maxaranguape,131.300 (50.695),"10,442",Leste Potiguar,Litoral Nordeste
6°4′44″S 37°30′15″W﻿ / ﻿6.07889°S 37.50417°W,Messias Targino,135.094 (52.160),"4,188",Oeste Potiguar,Médio Oeste
6°29′9″S 35°17′15″W﻿ / ﻿6.48583°S 35.28750°W,Montanhas,82.213 (31.742),"11,418",Leste Potiguar,Litoral Sul
6°4′4″S 35°19′56″W﻿ / ﻿6.06778°S 35.33222°W,Monte Alegre,199.519 (77.034),"20,670",Agreste Potiguar,Agreste Potiguar
