Map (coordinates),Municipality,Area(square kilometers) (square miles),Population,Mesoregion,Microregion
5°37′18″S 35°35′48″W﻿ / ﻿5.62167°S 35.59667°W,Taipu,352.818 (136.223),"11,836",Leste Potiguar,Litoral Nordeste
6°11′58″S 35°48′6″W﻿ / ﻿6.19944°S 35.80167°W,Tangará,156.780 (60.533),"14,175",Agreste Potiguar,Borborema Potiguar
6°27′54″S 38°10′47″W﻿ / ﻿6.46500°S 38.17972°W,Tenente Ananias,223.670 (86.359),"9,911",Oeste Potiguar,Pau dos Ferros
6°8′53″S 36°43′9″W﻿ / ﻿6.14806°S 36.71917°W,Tenente Laurentino Cruz,74.376 (28.717),"5,406",Central Potiguar,Serra de Santana
4°50′14″S 37°15′9″W﻿ / ﻿4.83722°S 37.25250°W,Tibau,162.407 (62.705),"3,687",Oeste Potiguar,Mossoró
6°11′12″S 35°5′31″W﻿ / ﻿6.18667°S 35.09194°W,Tibau do Sul,101.793 (39.302),"11,402",Leste Potiguar,Litoral Sul
6°27′54″S 37°16′28″W﻿ / ﻿6.46500°S 37.27444°W,Timbaúba dos Batistas,135.450 (52.297),"2,295",Central Potiguar,Seridó Ocidental
5°11′56″S 35°27′39″W﻿ / ﻿5.19889°S 35.46083°W,Touros,839.351 (324.073),"31,076",Leste Potiguar,Litoral Nordeste
5°52′1″S 37°11′19″W﻿ / ﻿5.86694°S 37.18861°W,Triunfo Potiguar,268.706 (103.747),"3,366",Oeste Potiguar,Médio Oeste
5°59′26″S 37°48′52″W﻿ / ﻿5.99056°S 37.81444°W,Umarizal,213.582 (82.464),"10,669",Oeste Potiguar,Umarizal
5°38′31″S 37°15′28″W﻿ / ﻿5.64194°S 37.25778°W,Upanema,811.806 (313.438),"12,985",Oeste Potiguar,Médio Oeste
6°20′53″S 35°22′33″W﻿ / ﻿6.34806°S 35.37583°W,Várzea,67.245 (25.963),"5,227",Agreste Potiguar,Agreste Potiguar
6°19′35″S 38°29′3″W﻿ / ﻿6.32639°S 38.48417°W,Venha-Ver,71.622 (27.653),"3,821",Oeste Potiguar,Serra de São Miguel
6°2′39″S 35°25′42″W﻿ / ﻿6.04417°S 35.42833°W,Vera Cruz,92.117 (35.566),"10,725",Agreste Potiguar,Agreste Potiguar
5°59′40″S 37°56′40″W﻿ / ﻿5.99444°S 37.94444°W,Viçosa,37.905 (14.635),"1,618",Oeste Potiguar,Pau dos Ferros
6°18′52″S 35°4′38″W﻿ / ﻿6.31444°S 35.07722°W,Vila Flor,47.656 (18.340),"2,872",Leste Potiguar,Litoral Sul
