#,Date,Visitor,Score,Home,Record,Pts,Filler_1
31,January 29,Chicago Black Hawks,4–3,Toronto Maple Leafs,14–16–1,29,pDgAilB
32,January 30,Detroit Red Wings,2–3,Chicago Black Hawks,15–16–1,31,AftvwfA
33,February 1,Chicago Black Hawks,2–0,Boston Bruins,16–16–1,33,TtmayJf
34,February 5,Chicago Black Hawks,1–5,Montreal Canadiens,16–17–1,33,HMfWeZW
35,February 6,Chicago Black Hawks,4–4,New York Rangers,16–17–2,34,wUeoAC
36,February 10,Boston Bruins,5–4,Chicago Black Hawks,16–18–2,34,NYmgh
37,February 13,Montreal Canadiens,2–2,Chicago Black Hawks,16–18–3,35,ccJrhXw
38,February 20,Toronto Maple Leafs,0–0,Chicago Black Hawks,16–18–4,36,cGFee
39,February 22,Chicago Black Hawks,8–4,New York Rangers,17–18–4,38,BwEEP
40,February 26,Chicago Black Hawks,3–2,Toronto Maple Leafs,18–18–4,40,wQohkWY
