#,Date,Visitor,Score,Home,Record,Pts
1,October 31,Toronto Maple Leafs,4–1,Chicago Black Hawks,0–1–0,0
2,November 4,Montreal Canadiens,5–3,Chicago Black Hawks,0–2–0,0
3,November 6,Chicago Black Hawks,4–3,New York Rangers,1–2–0,2
4,November 7,Chicago Black Hawks,1–5,Montreal Canadiens,1–3–0,2
5,November 11,Boston Bruins,4–6,Chicago Black Hawks,2–3–0,4
6,November 13,Chicago Black Hawks,4–1,Toronto Maple Leafs,3–3–0,6
7,November 14,New York Rangers,5–10,Chicago Black Hawks,4–3–0,8
8,November 18,Boston Bruins,3–7,Chicago Black Hawks,5–3–0,10
9,November 21,Chicago Black Hawks,2–5,Detroit Red Wings,5–4–0,10
10,November 25,Detroit Red Wings,3–4,Chicago Black Hawks,6–4–0,12
