#,Date,Visitor,Score,Home,Record,Pts,Dummy_Col_1
21,December 26,Chicago Black Hawks,6–7,New York Rangers,10–11–0,20,QfmcyNP
22,January 1,Montreal Canadiens,4–0,Chicago Black Hawks,10–12–0,20,vICjao
23,January 4,Chicago Black Hawks,4–6,Boston Bruins,10–13–0,20,QCuLJb
24,January 6,Chicago Black Hawks,1–6,Toronto Maple Leafs,10–14–0,20,Uzocv
25,January 9,Chicago Black Hawks,2–4,Detroit Red Wings,10–15–0,20,vPDCwcW
26,January 13,Chicago Black Hawks,5–2,New York Rangers,11–15–0,22,zyHKoHCK
27,January 16,Montreal Canadiens,1–1,Chicago Black Hawks,11–15–1,23,chECC
28,January 20,Chicago Black Hawks,3–4,Detroit Red Wings,11–16–1,23,xKMaQowT
29,January 23,Toronto Maple Leafs,3–5,Chicago Black Hawks,12–16–1,25,AAmbRp
30,January 27,New York Rangers,4–6,Chicago Black Hawks,13–16–1,27,spYGf
