#,Date,Visitor,Score,Home,Record,Pts
41,February 27,New York Rangers,2–4,Chicago Black Hawks,19–18–4,42
42,March 2,Boston Bruins,2–4,Chicago Black Hawks,20–18–4,44
43,March 4,Chicago Black Hawks,2–6,Detroit Red Wings,20–19–4,44
44,March 5,Detroit Red Wings,1–6,Chicago Black Hawks,21–19–4,46
45,March 9,Montreal Canadiens,3–2,Chicago Black Hawks,21–20–4,46
46,March 12,New York Rangers,4–4,Chicago Black Hawks,21–20–5,47
47,March 14,Chicago Black Hawks,4–6,Boston Bruins,21–21–5,47
48,March 16,Chicago Black Hawks,2–3,Montreal Canadiens,21–22–5,47
49,March 18,Chicago Black Hawks,3–6,Detroit Red Wings,21–23–5,47
50,March 19,Detroit Red Wings,0–2,Chicago Black Hawks,22–23–5,49
