Year,Title,Role,Notes,Filler_1,Extra_Data_2
1987,Frog,Kathy,Television movie,iSpGBO,823
1988,Platinum Blonde,,Short film,iVaggaFv,686
1992,Saved by the Bell: Hawaiian Style,Jessie Spano,Television movie,gIDdl,187
1994,Molly & Gina,Kimberly Sweeny,,bSQxO,585
1994,Bandit: Bandit Goes Country,Beth,Television movie,HGCdRXo,254
1994,Saved by the Bell: Wedding in Las Vegas,Jessie Spano,Television movie,QAQJHXh,444
1995,White Wolves II: Legend of the Wild,Crystal,,dQCpYJFl,962
1995,Showgirls,Nomi Malone,Golden Raspberry Award for Worst ActressGolden Raspberry Award for Worst New StarNominated—Golden Raspberry Award for Worst Actress of the CenturyNominated—Golden Raspberry Award for Worst New Star of the Decade,eQAqI,167
1996,The First Wives Club,Phoebe LaVelle,National Board of Review Award for Best Cast,RrpXQdm,371
1997,A Time to Revenge,Tiffany Whittmar,Scenes deleted,sjEGmgpZ,593
1997,Armitage III,Naomi Armitage (voice),Video,MxMfR,967
1997,The Real Blonde,Tina,,MCCyic,270
