Year,Title,Role,Notes,Irrelevant_1,Noise_Field_2,Unused_3
1998,Random Encounter,Alicia 'Allie' Brayman,,E2TfGz5X,rRvMIx,
1999,Taxman,Nadia Rubakov,,3fBVUdA,SMBJChF,
1999,Africa,Barbara Craig,,Nz6ctu2,qjSNr,
1999,Last Call,Helena,,pw5OsW,pWowTcw,
1999,Tail Lights Fade,Eve,,CL1U1MC,OnLybny,
1999,Any Given Sunday,Mandy Murphy,,YRyq5LB5,cnPqyFpy,
2000,Becoming Dick,Maggie,Television movie,BpBjZUk,JkYFaxZ,
2001,The Curse of the Jade Scorpion,Jill,,5MjxqSAS,fqdoSgo,
2001,The Elevator,Celeste,Television movie,ZyUedMvv,zTfveQF,
2001,The Shipment,Candy Colucci,,LQUIK,tzuhRqMm,
2002,Cover Story,Samantha Noble,,q2L7z0UB,zboZzeK,
