#,Stadium,Capacity,City,Country,Domed or Retractable roof,Random_Column_1
25,Amsterdam ArenA,"51,628",Amsterdam,Netherlands,RR,zeETIX
26,Esprit Arena,"51,500",Düsseldorf,Germany,RR,MDJfIPCV
27,Stade Pierre-Mauroy,"50,186",Lille,France,RR,PKlt1jE
28,Carrier Dome,"49,262","Syracuse, New York",United States,D,ep1oGtOZ
29,Chase Field,"49,033","Phoenix, Arizona",United States,RR,jvNcLe
30,Tropicana Field,"45,369","St. Petersburg, Florida",United States,D,rt7Z0W
31,Toyota Stadium,"45,000",Toyota,Japan,RR,Zjhjiarp
32,Miller Park,"42,200","Milwaukee, Wisconsin",United States,RR,DIPCI3
33,Minute Maid Park,"40,950","Houston, Texas",United States,RR,q2RIWM
34,Nagoya Dome,"40,500",Nagoya,Japan,D,sJboIhr
35,Ōita Stadium,"40,000",Ōita,Japan,RR,aP9lc
