#,Stadium,Capacity,City,Country,Domed or Retractable roof
1,Wembley Stadium,"90,000","London, England",United Kingdom,"RR *only covers seats, playing surface uncovered at all times"
2,AT&T Stadium,"80,000","Arlington, Texas",United States,RR
3,Millennium Stadium,"74,500",Cardiff,Wales,RR
4,University of Phoenix Stadium,"73,719","Glendale, Arizona",United States,RR; retractable playing surface
5,Mercedes-Benz Superdome,"73,208","New Orleans, Louisiana",United States,D
6,Reliant Stadium,"71,500","Houston, Texas",United States,RR
7,Georgia Dome,"71,228","Atlanta, Georgia",United States,D
8,Lucas Oil Stadium,"70,000","Indianapolis, Indiana",United States,RR
9,Stade olympique de Montréal,"66,308","Montreal, Quebec",Canada,D
10,Edward Jones Dome,"66,000","St. Louis, Missouri",United States,D
11,Alamodome,"65,000","San Antonio, Texas",United States,D
12,Ford Field,"65,000","Detroit, Michigan",United States,D
