#,Stadium,Capacity,City,Country,Domed or Retractable roof,Noise_Field_1,Random_Column_2
13,Stadion Narodowy im. Kazimierza Górskiego,"58,145",Warszawa,Poland,RR,MQtDVM,CEMuLjM
14,Etihad Stadium,"56,347",Melbourne,Australia,RR,yAqiFOWZ,3dhVj
15,Arena Națională,"55,600",Bucharest,Romania,RR,TFMnkj,gYZzc
16,Tokyo Dome,"55,000",Tokyo,Japan,D,Hknelx,YczQt
17,BC Place,"54,500","Vancouver, British Columbia",Canada,RR,gVDug,uMxR0wSO
18,Friends Arena,"54,329","Solna, Stockholm",Sweden,RR,tWotbT,94rfpa0w
19,Safeco Field,"54,097","Seattle, Washington",United States,RR,ShFqLwrf,2CNpPw
20,Veltins-Arena,"53,951",Gelsenkirchen,Germany,RR; retractable playing surface,Qjvbb,YV1cg
21,Sapporo Dome,"53,845",Sapporo,Japan,D; retractable playing surface,lcWHDyP,XApGytKR
22,Türk Telekom Arena,"52,647",Istanbul,Turkey,RR,MeFesfKY,fFaBN
23,Commerzbank-Arena,"52,300",Frankfurt,Germany,RR,dHzXzWtj,yR3BYhuZ
24,Rogers Centre,"52,230","Toronto, Ontario",Canada,RR,oYxnqu,A0C1s
