Rank,Athlete,Country,Time,Notes,Random_Column_1,Irrelevant_2,Filler_3
11,Lidiya Skoblikova,Soviet Union,2:27.6,,ffjLy,iCaZ7s,OAGOC
12,Ans Schut,Netherlands,2:28.3,,7O1MEN,YT1iF5,ftkkuT
13,Dianne Holum,United States,2:28.5,,AgwkNU,nEylgK7Q,yjXFLN
14,Martine Ivangine,France,2:29.9,,JJnsGT,sOJn53rP,XTqLsly
14,Kari Kåring,Norway,2:29.9,,jkoqV,2lAfLq,JidgOU
16,Jeanne Ashworth,United States,2:30.3,,MIZGO,nIXGFYNk,zYgEg
17,Lisbeth Korsmo-Berg,Norway,2:30.7,,XXUl0,BPGp51,qwJaX
18,Christina Karlsson,Sweden,2:31.4,,3Bi55uUh,woGqks,NDNWekVX
18,Sachiko Saito,Japan,2:31.4,,iMrlG,X5cFla,brnwt
20,Ylva Hedlund,Sweden,2:31.5,,xKFwmK8,5Zr29T,lNpCoaMO
