Pos,No,Rider,Bike,Laps,Time,Grid,Points,Irrelevant_1
12,15,Simone Grotzkyj,Aprilia,22,+58.800,11,4,scCUVuK
13,23,Alberto Moncayo,Aprilia,22,+1:02.050,13,3,JkSiaWS
14,78,Marcel Schrötter,Honda,22,+1:15.497,23,2,aPLhM
15,63,Zulfahmi Khairuddin,Aprilia,22,+1:16.029,18,1,5jYphE
16,84,Jakub Kornfeil,Aprilia,22,+1:26.441,28,,flptHpl
17,69,Louis Rossi,Aprilia,22,+1:33.613,24,,H8VCC
18,87,Luca Marconi,Aprilia,22,+1:36.186,25,,JADMI9
19,58,Joan Perelló,Honda,22,+1:36.223,26,,asO1H9
20,60,Michael van der Mark,Lambretta,22,+1:36.340,27,,JLCCw
21,59,Johnny Rosell,Honda,22,+1:43.804,22,,GV5PiQ
22,72,Marco Ravaioli,Lambretta,22,+1:55.331,30,,BjbJS
