Rank,Athlete,Country,Time,Behind,Points,Dummy_Col_1,Irrelevant_2
13,Benjamin Macé,France,1:57.80,3.82,39.266,pjjSxNdZ,cqyQhuxu
14,Konrad Niedźwiedzki,Poland,1:57.92,3.94,39.306,jHdCOZ,e1J0bYc
15,Sergey Gryaztsov,Russia,1:58.73,4.75,39.576,XLIuiRe,Rd1ZEA8
16,Patrick Beckert,Germany,1:59.08,5.10,39.693,hAcOxMCy,mGkKE
17,Kristian Reistad Fredriksen,Norway,1:59.19,5.21,39.730,idSMomtb,zbQYqcgh
18,Luca Stefani,Italy,1:59.82,5.84,39.940,sZnatPRF,cN4um
19,Marco Cignini,Italy,1:59.97,5.99,39.990,zBnekkZW,KJ8HFR
20,Ferre Spruyt,Belgium,2:00.00,6.02,40.000,wCFRtf,fq11FV
21,Vitaly Mikhailov,Belarus,2:00.75,6.77,40.520,MbEGwQ,CWDvJH
22,Milan Sáblík,Czech Republic,2:00.95,6.97,40.316,iVQIDKij,0KCA4EAf
23,Ted Jan Bloemen,Netherlands,2:01.58,7.60,40.526,qoWyeFO,2sLim
24,Moritz Geisreiter,Germany,2:01.64,7.66,40.566,RpFvdv,SP3rhZje
