Rank,Athlete,Country,Time,Behind,Points
1,Sven Kramer,Netherlands,1:53.98 TR,0.00,37.993
2,Sverre Lunde Pedersen,Norway,1:54.87,0.89,38.290
3,Jan Blokhuijsen,Netherlands,1:54.93,0.95,38.310
4,Denis Yuskov,Russia,1:55.13,1.15,38.376
5,Koen Verweij,Netherlands,1:55.42,1.44,38.473
6,Haralds Silovs,Latvia,1:55.48,1.50,38.493
7,Zbigniew Bródka,Poland,1:55.98,2.00,38.660
8,Bart Swings,Belgium,1:56.08,2.10,38.693
9,Håvard Bøkko,Norway,1:56.35,2.37,38.783
10,Jan Szymański,Poland,1:56.55,2.57,38.850
11,Bram Smallenbroek,Austria,1:57.44,3.46,39.146
12,Alexis Contin,France,1:57.58,3.60,39.193
