Title,Genre,Sub­divisions,Libretto,Première date,"Place, theatre"
Die drei Wünsche,Operette,Prologue and 3 acts,Leopold Krenn and Carl Lindau,9 March 1901,"Vienna, Carltheater"
Der Fremdenführer,Operette,Prologue and 3 acts,Leopold Krenn and Carl Lindau,11 October 1902,"Vienna, Theater an der Wien"
Der Schätzmeister,Operette,3 acts,Alexander Engel and Julius Horst,10 December 1904,"Vienna, Carltheater"
Fesche Geister,Operette,Prologue and 2 sections,Leopold Krenn and Carl Lindau,7 July 1905,"Vienna, 'Sommertheater Venedig in Wien'"
"Über'n großen Teich (together with: Edmund Eysler, Bela von Ujj and F. Ziegler)",Operette,,Adolph Philipp,2 September 1906,"Vienna, Theater an der Wien"
Die Spottvogelwirtin,,3 acts,Rudolf Oesterreicher,1906,Vienna
Ein tolles Mädel (English: Mlle Mischief),Vaudeville-Operette,Prologue and 2 acts,Wilhelm Sterk (after: Kurt Kraatz and Heinrich Stobitzer) (English: Sydney Rosenfeld),"24 August 1907, English version: 28 September 1908","Wiesbaden; English version: New York City, Lyric Theatre;"
Am Lido,Operette,1 act,Ottokar Tann-Bergler and Alfred Deutsch-German,31 August 1907,"Vienna, Kolosseum"
Der Liebeswalzer,Operette,3 acts,Robert Bodanzky and Fritz Grünbaum,24 October 1908,"Vienna, Raimund Theater"
Herr und Frau Biedermeier,Singspiel,1 act,Wilhelm Sterk,9 January 1909,"Munich, 'Kleine Bühne'"
Die Gaukler,Operette,1 act,Emil Golz and Arnold Golz,6 September 1909,"Vienna, Apollotheater"
