Title,Genre,Sub­divisions,Libretto,Première date,"Place, theatre",Irrelevant_1,Noise_Field_2
Mahomed's Paradies,Burleske-Operette,1 act,Composer,26 February 1866,"Vienna, Harmonietheater",goBwrC,qjvqBAh
Das Orakel zu Delfi,Burleske-Operette,2 acts,Carl Costa,21 September 1872,"Linz, Landestheater",Obrim4la,szlYTkEJ
"Cleopatra, oder Durch drei Jahrtausende (together with: Richard Genée and Max von Weinzierl)",fantastic burlesque,3 sections,J. Steinher,13 November 1875,"Vienna, Komische Oper",Hu2Nit,aiLTUzu
König Jérôme oder Immer lustick!,Operette,4 acts,Adolf Schirmer,28 November 1878,"Vienna, Ringtheater",yoAKE5,pQhgqCO
Der kleine Don Juan,Operette,,,November 1879,"Budapest, Deutsches Theater",cceBmMQ,iXGqWd
Wiener Kinder,Operette,3 acts,Leopold Krenn and Carl Wolff,19 January 1881,"Vienna, Carltheater",28qSh,whCWIer
Ein Deutschmeister,Operette,3 acts,Richard Genée and Bruno Zappert,30 November 1888,"Vienna, Carltheater",qCObf3dG,DTKrrBkt
Wiener Luft,Posse mit Gesang,3 acts,Benno Rauchenegger,10 May 1889,"Vienna, Theater an der Wien",iQVB4M,zfMuo
Der bleiche Zauberer,indianisches Lagerbild,1 act,"Isidor Fuchs, based on an Indian story by James Fennimore Cooper",20 September 1890,"Vienna, Theater an der Wien",WjgCx6,nyffTp
Der schöne Rigo,Operette,2 acts,Leopold Krenn and Carl Lindau,24 May 1898,"Vienna, 'Sommertheater Venedig in Wien'",eJxHECB6,RsLZcOhX
Die Landstreicher,Operette,Prologue and 2 acts,Leopold Krenn and Carl Lindau,26 July 1899,"Vienna, 'Sommertheater Venedig in Wien'",200D3zoZ,QrVUY
