District,Name,Party,Residence,First served
District 6,Louis Greenwald,Dem,Voorhees Twp.,1996
District 6,Pamela Rosen Lampitt,Dem,Cherry Hill,2006
District 7,Herb Conaway,Dem,Delanco,1998
District 7,Troy Singleton,Dem,Palmyra,2011†
District 8,Christopher J. Brown,Rep,Marlton,2012
District 8,Scott Rudder,Rep,Medford,2008
District 9,DiAnne Gove,Rep,Long Beach Twp.,2009†
District 9,Brian E. Rumpf,Rep,Little Egg Harbor,2003†
District 10,Gregory P. McGuckin,Rep,Toms River,2012
District 10,David W. Wolfe,Rep,Brick,1992
