District,Name,Party,Residence,First served
District 16,Jack Ciattarelli,Rep,Hillsborough Twp.,2011†
District 16,Donna Simon,Rep,Whitehouse Station,2012†
District 17,Upendra J. Chivukula,Dem,Somerset,2002
District 17,Joseph V. Egan,Dem,New Brunswick,2002
District 18,Peter J. Barnes III,Dem,Edison,2007†
District 18,Patrick J. Diegnan,Dem,South Plainfield,2002
District 19,Craig Coughlin,Dem,Fords,2010
District 19,John S. Wisniewski,Dem,Sayreville,1996
District 20,Joseph Cryan,Dem,Union Twp.,2002
District 20,Annette Quijano,Dem,Elizabeth,2008†
