District,Name,Party,Residence,First served
District 11,Mary Pat Angelini,Rep,Ocean Twp.,2008
District 11,Caroline Casagrande,Rep,Colts Neck,2008
District 12,Robert D. Clifton,Rep,Matawan,2012
District 12,Ronald S. Dancer,Rep,Plumstead Twp.,2002†
District 13,Amy Handlin,Rep,Lincroft,2006
District 13,Declan O'Scanlon,Rep,Little Silver,2008
District 14,Daniel R. Benson,Dem,Hamilton Twp.,2011†
District 14,Wayne DeAngelo,Dem,Hamilton Twp.,2008
District 15,Reed Gusciora,Dem,Trenton,1996
District 15,Bonnie Watson Coleman,Dem,Ewing Twp.,1998
