District,Name,Party,Residence,First served
District 26,BettyLou DeCroce,Rep,Morris Plains,2012†
District 26,Jay Webber,Rep,Morris Plains,2008
District 27,Mila Jasey,Dem,South Orange,2007†
District 27,John F. McKeon,Dem,West Orange,2002
District 28,Ralph R. Caputo,Dem,Bloomfield,20081
District 28,Cleopatra Tucker,Dem,Newark,2008
District 29,Eliana Pintor-Marin,Dem,Newark,2013†
District 29,L. Grace Spencer,Dem,Newark,2008
District 30,Sean T. Kean,Rep,Wall Twp.,20122
District 30,Dave Rible,Rep,Wall,2008
