District,Name,Party,Residence,First served
District 1,Nelson Albano,Dem,Vineland,2006
District 1,Robert Andrzejczak,Dem,Middle Twp.,2013†
District 2,John F. Amodeo,Rep,Margate,2008
District 2,Chris A. Brown,Rep,Ventnor,2012
District 3,John J. Burzichelli,Dem,Paulsboro,2002
District 3,Celeste Riley,Dem,Bridgeton,2009†
District 4,Paul Moriarty,Dem,Washington Twp.,2006
District 4,Gabriela Mosquera,Dem,Blackwood,2012†
District 5,Angel Fuentes,Dem,Camden,2010
District 5,"Gilbert \Whip\"" Wilson""",Dem,Camden,2010†
