District,Name,Party,Residence,First served,Random_Column_1,Noise_Field_2,Extra_Data_3
District 31,Charles Mainor,Dem,Jersey City,2010,c4IHnj,gXoTmSv,809
District 31,Jason O'Donnell,Dem,Bayonne,2010†,MRNnXdQ,fjSKOA,761
District 32,Angelica M. Jimenez,Dem,West New York,2012,UFE4rXv,lrghlNu,904
District 32,Vincent Prieto,Dem,Secaucus,2004†,XQdq0C,BHxFl,418
District 33,Sean Connors,Dem,Jersey City,2012,jwKGnZAP,lGNhwKd,500
District 33,Ruben J. Ramos,Dem,Hoboken,2008,MiIOY2,MpPpWcF,985
District 34,Thomas P. Giblin,Dem,Montclair,2006,klKd4aN,pwAWe,427
District 34,Sheila Y. Oliver,Dem,East Orange,2004,vNxV1M,zOyLsLAA,355
District 35,Shavonda E. Sumter,Dem,Paterson,2012,Kr8hcOkC,rdSOAexI,628
District 35,Benjie Wimberly,Dem,Paterson,2012,uWgwQ,BPebLvc,521
