District,Name,Party,Residence,First served
District 21,Jon Bramnick,Rep,Westfield,2003†
District 21,Nancy Munoz,Rep,Summit,2009†
District 22,Jerry Green,Dem,Plainfield,1992
District 22,Linda Stender,Dem,Scotch Plains,2002
District 23,John DiMaio,Rep,Hackettstown,2009†
District 23,Erik Peterson,Rep,Franklin Twp.,2009†
District 24,Alison Littell McHose,Rep,Franklin,2003†
District 24,Parker Space,Rep,Wantage Twp.,2013†
District 25,Tony Bucco,Rep,Boonton Twp.,2010
District 25,Michael Patrick Carroll,Rep,Morris Twp.,1996
