Name,Animal Type,Introduced,Reintroduced,Retired,Beanie Baby Resembled,Noise_Field_1
Moo,Cow,1995,,,"Daisy, but with white body instead of black",cweyTV
Oink,Pig,1995,,,Squealer,cVOvFT
Paddles,Platypus,,1999 (neon),1999,Patti,svrsMNbl
Purr,Tiger,,,,"Stripes, but yellow-orange instead of orange-black",EUOiaOGK
Red,Bull,,,,Snort,amVJxY
Ribbit (All-Green),Frog,1995,1999 (neon),1999,Legs,fNCxCo
Ribbit (Green-Yellow),Frog,,,,Smoochy,zUAyMi
Sherbert,Tie-Dye Bear,1998,1999 (neon),1999,Sammy,sMvwLa
Snap (All-Yellow),Turtle,1995,,,"Speedy, but yellow instead of green",QosKkAw
Snap (Yellow-Green),Turtle,,1999 (neon),,Peekaboo,jwoVFgff
