Year,Name,Location,Notes,Dummy_Col_1,Irrelevant_2,Filler_3
c. 1911,Lighthouse Point Park Carousel,"New Haven, Connecticut","original location unknown, moved to present location in 1916",droHG,1Mx9wwF,oYCVE
1911,Fraser's Million Dollar Pier Carousel,"Santa Monica, California",Burned down in September 1912,EcNoaM,e87it,vhCRWOo
1911,Venice Pier Carousel,"Venice, California",,VNOlm,uXCsVMgl,HDmoZJk
1911,Heritage Museum Carousel,"Heritage Museums and Gardens, Sandwich, Massachusetts","original location Crescent Park,Riverside, Rhode Island, moved to Fall River, Massachusetts, then to Provincetown, Massachusetts, then to present location in 1969",SzOtMo,aRmDa,AeqVV
c. 1912,Grand Carousel,"Knoebels, Elysburg, Pennsylvania","moved to present location in 1941 from Riverview Park in Rahway, New Jersey; Looff frame, Carmel horses; operational brass rings",lxCSga,vXrY4,iEZDCIPQ
1914,Pan Pacific International Exposition Carousel,"San Francisco, California",,NFIQyDJ,LNdsi0,OWQkne
1914,RAB Amusements Carousel,"Keansburg, New Jersey",,ygSUNJfO,9L9f3Xk1,KfLWe
1916,Santa Monica Pier Carousel,"Santa Monica, California",replaced in 1947 with PTC #62; Looff Hippodrome carousel building is a National Historic Landmark,NcQDHuPk,zAAd8J1f,bdcVw
1925,Redondo Beach Carousel,"Redondo Beach, California",,WtCvyn,lC4Hu4,pJOsrn
1926,Griffith Park Merry-Go-Round,"Griffith Park, Los Angeles, California",Spillman/Looff mix,uUUWgm,2fIZ81,VrcdJyV
1928,Van Andel Museum Carousel,"Grand Rapids, Michigan","original location Lakewood Park, Barnesville, Pennsylvania, moved to present location in 1982",fBvze,LIP9Ow,CZidRtje
