Year,Name,Location,Notes,Noise_Field_1
1904,Zeum Carousel,"Yerba Buena Gardens, San Francisco, California","built in 1904 for San Francisco, sent to instead Seattle's Luna Park due to 1906 earthquake, returned to Playland-At-The-Beach, San Francisco in 1914 until 1972; 1972 to 1984: In storage at Roswell, New Mexico for restoration; 1984 to 1998: Shoreline Village, California; 1998: Yerba Buena Gardens, San Francisco, California",WLnmo
1909,Lakeside Carousel,"International Market World, Auburndale, Florida","originally located in Harvey Lake, Pennsylvania, moved to Florida in 1986 and present location in 1996",qruCFOE
1909,Riverfront Park Carousel,"Riverfront Park, Spokane, Washington","a wedding gift for Looff's daughter Emma Vogel and her husband Louis Vogel, who owned Natatorium Park; moved to present location in 1975; operational brass rings; Ruth & Sons organ; National Historic Landmark",RyOZo
1909,Whalom Park Carousel,"Lunenburg, Massachusetts","Moved to Whalom Park in 1912, Featured 2 Looff Sea Dragons, Broken up at auction April 15, 2000",ZVDqVN
1909,Oklahoma State Fair Carousel,"Oklahoma City, Oklahoma",with a figure 8 coaster,LaiEEfe
1909,Sherman's Carousel,"Caroga Lake, New York","Looff/Murphy carousel platform and mechanism populated with 50 metal animals by (Theel mfg.), in original 12-sided Looff carousel building w/ stained glass windows. Original hand-carved Looff animals were sold in late 1970s to private collectors. Carousel is owned privately and available only for private functions at this time. *Note: This carousel is almost identical to the one operated at Lake Compounce in Connecticut.",qoTZMWxG
1910,Carousel of Happiness,"Nederland, Colorado","originally located at Saltair Park, Salt Lake City, Utah, moved to American Fork, Utah in 1959 and sold for parts in 1986; Scott Harrison used the Looff frame and installed new, whimsically-carved figures",cVtPLp
1910,Dr. Floyd L. Moreland Looff/Dentzel Carousel,"Casino Pier, Seaside Heights, New Jersey","Relocated from Burlington Island Park, New Jersey in 1932.  The chariots and some animals were carved by Dentzel, Morris, Carmel, and Illions. Located in a 10-sided unenclosed building on boardwalk pier; 4 Rows, 35 Jumping Horses, 18 Standing Horses, 5 Menagerie Animals (1 Lion, 1 Tiger, 1 Mule, 2 Camels), 2 Chariots, 2016 Lightbulbs, and 15 original antique paintings from 1910 in center casing. The music is provided by the only continuously operating Wurlitzer 146 Military Band Organ in the state. Dr. Floyd L. Moreland bought and restored it in 1984. The carousel survived Hurricane Sandy in 2012.",tfplvyvJ
1911,The Pike Carousel,"Long Beach, California",burned down in 1943,XUhAOTzw
1911,Santa Cruz Beach Boardwalk Carousel,"Santa Cruz, California","National Historic Landmark, brass rings, still in use at original location",aEikN
1911,Fantasy Fair Carousel,"Fantasy Fair, Toronto, Ontario","moved to present location in 1988; Looff platform, fiberglass animals",vNeNLCB
