Representative,Title,From,To,Appointed by
George W. Slacum,Special Diplomatic Agent,1851,,Millard Fillmore
Edward Smith,Special Diplomatic Agent,1852,,Millard Fillmore
Alfred Conkling,Minister,1852,1853,Millard Fillmore
George E. Cooper,Special Diplomatic Agent,1853,,
Christopher L. Ward,Special Diplomatic Agent,1853,,
James Gadsden,Minister,1853,1856,
Richard S. Spofford,Special Diplomatic Agent,1854,,Franklin Pierce
John Forsyth Jr.,Minister,1856,1858,Franklin Pierce
William M. Churchwell,Special Diplomatic Agent,1858,,James Buchanan
Alfred Mordecai,Special Diplomatic Agent,1858,,James Buchanan
