Representative,Title,From,To,Appointed by,Unused_1,Filler_2,Irrelevant_3
Duff Green,Special Diplomatic Agent,1859,,James Buchanan,,DsAbn,lKG6y7O
David R. Porter,Special Diplomatic Agent,1859,,James Buchanan,,EgXDTyK,x9e7hCl
Robert Milligan McLane,Minister,1859,1860,James Buchanan,,JKwNisr,MpAIidLQ
Henry Roy de la Reintrie,Special Diplomatic Agent,1860,,James Buchanan,,oxjYWi,OE21r
John B. Weller,Minister,1860,1861,James Buchanan,,kqkFNKRX,gigj01
Thomas Corwin,Minister,1861,1864,,,dhDko,YprRsc
Robert W. Shufelt,Special Diplomatic Agent,1862,,Abraham Lincoln,,doafjWvW,XWWDnE
Lewis D. Campbell,Minister,1866,1867,Andrew Johnson,,jvlNrMuJ,0lgfhr
Marcus Otterbourg,Minister,1867,,Andrew Johnson,,dyQRyGn,Ted3xP
William S. Rosecrans,Minister,1868,1869,Andrew Johnson,,jLcIJ,JMEMd
