Representative,Title,From,To,Appointed by
William Shaler,Special Diplomatic Agent,1810,1812,James Madison
John H. Robinson,Special Diplomatic Agent,1812,1814,James Madison
Joel Roberts Poinsett,Minister,1825,1829,John Quincy Adams
Anthony Butler,Special Diplomatic Agent,1829,,
Anthony Butler,Chargé d'Affaires,1829,1835,
William A. Slacum,Special Diplomatic Agent,1835,1836,Andrew Jackson
Powhatan Ellis,Chargé d'Affaires,1836,,Andrew Jackson
Robert Greenhow,Special Diplomatic Agent,1837,,
Powhatan Ellis,Minister,1839,1842,Martin Van Buren
Henry E. Lawrence,Special Diplomatic Agent,1842,,John Tyler
