Representative,Title,From,To,Appointed by
"Waddy Thompson, Jr.",Minister,1842,1844,John Tyler
Moses Yale Beach,Special Diplomatic Agent,1843,,John Tyler
Gilbert L. Thompson,Special Diplomatic Agent,1844,,John Tyler
Wilson Shannon,Minister,1844,1845,John Tyler
John Slidell,Minister,1845,,James K. Polk
David Conner,Special Diplomatic Agent,1846,,James K. Polk
Nathan Clifford,Minister,1848,1849,James K. Polk
Robert P. Letcher,Minister,1849,1852,
Robert Greenhow,Special Diplomatic Agent,1850,,
George G. Goss,Special Diplomatic Agent,1850,1852,
