Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
AgustaWestland CH-149 Cormorant,CH-149,UK/Italy,Search and Rescue helicopter,2000–current,15
Airbus Polaris,CC-150,France,transport/tanker,1992–current,5
Airco DH.4,n/a,UK,bomber,1920–1928,12
Airco DH.9A,n/a,UK,bomber,1920–1929,12
Airspeed Horsa,n/a,UK,glider troop transport,1948–1950,3
Airspeed Oxford,n/a,UK,"trainer (navigation, bombing & radio)",1939–1947,819
Armstrong Whitworth Atlas,n/a,UK,army co-operation,1927–1942,16
Armstrong Whitworth Siskin,n/a,UK,fighter,1926–1940,12
Auster AOP6 & T7,n/a,UK,air observation post,1948–1958,42
Avro 504,n/a,UK,trainer,1920–1934,97
Avro 552 Viper,n/a,Canada,forestry patrol,1924–1928,14
Avro Avian Mk.IVM,n/a,UK,utility/trainer,1929–1936,29
Avro Tutor (Avro 621),n/a,UK,trainer,1931–1945,7
Avro Prefect (Avro 626),n/a,UK,trainer,1937–1945,12
Avro Anson,n/a,UK/Canada,medium bomber/trainer,1940–1947,4413
Avro Lancaster,n/a,UK/Canada,heavy bomber,1944–1965,229
Avro Lincoln,n/a,UK/Canada,heavy bomber,1946–1947,3
Avro Wright,n/a,Canada,forestry patrol,1925–1930,1
Avro Canada CF-105 Arrow,CF-105,Canada,interceptor,1958–1959,5
Avro Canada CF-100 Canuck,CF-100,Canada,interceptor,1951–1984,692
BAE Systems/Advanced Ceramics Research Silver Fox,CU-167,UK,UAV,?–?,4+
