Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used,Dummy_Col_1,Extra_Data_2
BAE Systems Hawk,CT-155,UK,advanced trainer,2000–current,22,lsSie,204
Barkley-Grow T8P-1,n/a,US,transport,1939–1941,1,sPNBlGeR,192
Beechcraft Expeditor,CT-128,US,utility/trainer,1941–1972,394,AbHLX,572
Beechcraft Harvard II,CT-156,US,elementary trainer,2000–current,26,ipZpEMU,176
Beechcraft King Air,CT-145,US,transport/trainer,1992–current,8,PmXbQ,5
Beechcraft Mentor,n/a,US,elementary trainer,1954–1956,25,YFwmnd,374
Beechcraft Musketeer,CT-134,US,elementary trainer,1971–1992,46,zNPJB,768
Bell 47D & G,n/a,US,utility helicopter,1948–1965,9,bjXHOdG,402
Bell Griffon,CH-146,Canada,utility helicopter,1994–current,100,kyQIsm,710
Bell Iroquois,CH-118,US/Canada,utility helicopter,1968–current,10,ejovHqAA,577
Bell Jet Ranger,CH-139,US,utility helicopter,1981–1993,14,lTBmvzZ,184
Bell Kiowa,CH-136,US,utility helicopter,1971–1997,74,IYGZSL,525
Bell Twin Huey,CH-135,US,utility helicopter,1971–1999,50,lfmDz,49
Bellanca CH-300 Pacemaker,n/a,US,transport,1929–1944,13,KQRKe,463
Blackburn Shark Mk.II & III,n/a,UK,torpedo bomber,1936–1944,26,TpmRyV,120
Boeing 247D,n/a,US,transport,1940–1942,8,mDGeRt,469
Boeing CC-137,CC-137,US,transport/tanker,1970–1997,5,hdFYu,121
Boeing Fortress Mk.II,n/a,US,long-range patrol bomber,1943–1946,6,InvIWl,21
Boeing Globemaster III,CC-177,US,transport,2007–current,4,tRbaJOYc,727
Boeing Insitu ScanEagle,CU-169,US,UAV,2008–current,?,Dbcvkj,561
Boeing Stratojet,n/a,US,bomber used as engine testbed,1956–1959,1,tBPNkOJ,314
