Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Canadian Vickers Vancouver,n/a,Canada,patrol flying boat,1929–1940,6
Canadian Vickers Vanessa,n/a,Canada,utility/transport,1927–1927,1
Canadian Vickers Varuna,n/a,Canada,patrol flying boat,1926–1930,8
Canadian Vickers Vedette,n/a,Canada,patrol flying boat,1925–1941,44
Canadian Vickers Velos,n/a,Canada,patrol floatplane,1927–1928,1
Canadian Vickers Vigil,n/a,Canada,training/utility,1928–1930,1
Canadian Vickers Vista,n/a,Canada,patrol flying boat,1927–1931,1
Cessna 182/L-182,CO-119,US,utility,1961–1973,10
Cessna Bird Dog/L-19,CO-119,US,utility/liaison,1954–1983,25
Cessna Crane,n/a,US,trainer,1941–1949,826
Consolidated Catalina/Canso,n/a,US/Canada,maritime patrol seaplane,1941–1962,254
Consolidated Courier,n/a,US,utility,1928–1941,3
Consolidated Liberator,n/a,US,maritime patrol,1943–1948,148
Consolidated Privateer,n/a,US,maritime patrol,1946–1949,1
Curtiss Canuck,n/a,Canada,trainer,1920–1923,10
Curtiss H-16,n/a,US,patrol flying boat,1922–1924,2
Curtiss HS-2L,n/a,US,patrol flying boat,1920–1928,30
Curtiss Kittyhawk,n/a,US,fighter,1941–1946,134
Curtiss Seamew,n/a,US,utility floatplane,1943–1944,82
Curtiss Tomahawk,n/a,US,fighter,1943–1946,4
Curtiss Warhawk,n/a,US,fighter,1942–1943,9
