Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Boeing-Vertol Chinook,CH-147,US,transport helicopter,1974–1992,9
Boeing-Vertol Labrador & Voyageur,CH-113,US,Search and Rescue helicopter,1963–2004,18
Brewster Bermuda,n/a,US,dive bomber,1943–1946,3
Bristol Beaufort,n/a,UK,torpedo bomber/strike/minelayer,1941–1944,15
Bristol Blenheim Mk.IV,n/a,UK,medium bomber/gunnery trainer,1941–1945,1
Bristol F.2B Fighter,n/a,UK,fighter,1920–1922,2
Bristol Fairchild Bolingbroke,n/a,Canada,bomber/trainer,1939–1947,626
Bristol Freighter,n/a,UK,cargo,1952–1967,6
Burgess-Dunne,n/a,US,reconnaissance,1914–1914,1
Canadair Argus,CP-107,Canada,maritime patrol,1957–1988,33
Canadair C-5 North Star,n/a,Canada,VIP transport,1950–1967,1
Canadair CF-5 Freedom Fighter,CF-116,Canada,fighter/ground attack,1968–current,133
Canadair Challenger,CC-144,Canada,VIP transport/EW trainer/maritime patrol,1983–current,18
Canadair Cosmopolitan,CC-109,Canada,transport,1960–1994,13
Canadair Dynavert,CX-131,Canada,experimental VTOL tilt-wing,1969–1975,3
Canadair North Star,n/a,Canada,transport,1947–1966,24
Canadair Sabre,n/a,Canada,fighter,1950–1977,1184
Canadair Silver Star,CT-133,Canada,trainer/EW,1953–current,656
Canadair Starfighter,CF-104,Canada,fighter,1961–1988,200
Canadair Tutor,CT-114,Canada,trainer,1963–2000,190
Canadair Yukon,CC-106,Canada,transport,1959–1971,12
