Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Fleet Fort,n/a,Canada,intermediate/radio trainer,1941–1945,101
Fleet Freighter,n/a,Canada,transport,1942–1944,2
Fokker Super Universal,n/a,US,transport,1929–1929,1
Ford 6-AT Trimotor,n/a,US,transport,1929–1937,1
General Aircraft Hotspur Mk.II,n/a,UK,training glider,1942–1945,22
General Atomics Altair,CU-163,US,UAV,2004–2004,1?
Gloster Meteor,n/a,UK,fighter,1945–1955,4
Grumman Albatross,CSR-110,US,Search and Rescue amphibian,1960–1971,10
Grumman Goblin,n/a,US/Canada,fighter,1940–1942,15
Grumman Goose,n/a,US,utility amphibian,1938–1956,31
Grumman Tracker,CP-121,Canada,carrier-borne ASW,1968–1994,72
Handley Page Hampden,n/a,UK,bomber,1941–1944,96
Handley Page Harrow,n/a,UK,bomber/transport,1940–1941,2
Handley Page Halifax,n/a,UK,heavy bomber,1944–1947,5
Hawker Audax,n/a,UK,army cooperation,1933–1943,6
Hawker Hart,n/a,UK,bomber,1937–1943,3
Hawker Hind,n/a,UK,instructional airframe,1942–1943,4
Hawker Hurricane,n/a,UK/Canada,fighter,1939–1948,502
Hawker Sea Hurricane,n/a,UK,fighter,1942–1943,1
Hawker Tempest Mk.VI,n/a,UK,fighter,1946–1947,1
Hawker Tomtit,n/a,UK,trainer,1930–1943,2
