Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Meggitt Vindicator II,CU-162,UK,UAV,?–?,?
Mil Mi-17,CH-178,Russia,transport helicopter,2010–current,4
Noorduyn Norseman,n/a,Canada,utility transport,1940–1957,100
North American AT-6D Texan,n/a,US,advanced trainer,1951–1954,100
North American Harvard,n/a,US/Canada,advanced trainer,1939–1968,2156
North American Mitchell,n/a,US,bomber,1942–1963,164
North American Mustang Mk.IV,n/a,US,fighter,1947–1961,130
North American NA-26,n/a,US,trainer,1940–1942,1
North American NA-44,n/a,US,fighter/utility,1940–1944,1
North American Sabre,n/a,US,fighter,1951–1953,1
North American Yale,n/a,US,intermediate/radio trainer,1940–1946,119
Northrop Delta,n/a,Canada,transport/patrol,1936–1945,20
Northrop Nomad,n/a,US,light bomber,1940–1945,32
Percival Prentice,n/a,UK,trainer,1948–1948,1
Piasecki H-21A,CH-125,US,utility/rescue helicopter,1954–1973,18
Piasecki Model 44A,CH-127,US,utility/rescue helicopter,1960–1972,5
Pitcairn Mailwing,n/a,US,utility,1928–1932,1
Royal Aircraft Factory S.E.5a,n/a,UK,fighter,1920–1929,12
SAGEM Sperwer,CU-161,France,UAV,2003–current,31
Schweizer 2-12,n/a,US,training glider,1946–1949,2
