Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Sikorsky Cyclone (S-92),CH-148,US,anti-submarine warfare helicopter,not delivered,0
Sikorsky H-5 (S-51),n/a,US,utility/rescue helicopter,1947–1965,7
Sikorsky H-19 (S-55),n/a,US,utility/transport helicopter,1954–1985,15
Sikorsky H-34 (S-58),CH-126,US,utility/transport helicopter,1955–1973,6
Sikorsky Sea King (S-61),CH-124,US,Anti-submarine helicopter,1968–current,40
Slingsby Firefly,CT-111,UK,trainer,1992–current,12
Sopwith Camel,n/a,UK,fighter,1924–1929,10
Sopwith Snipe,n/a,UK,fighter,1919–1923,3
Stearman Kaydet (Model 75),n/a,US,elementary trainer,1942–1943,301
Stinson Voyager (Model 105),n/a,US,utility,1940–1946,25
Supermarine Spitfire,n/a,UK,fighter,1940–1950,8
Supermarine Stranraer,n/a,Canada,patrol seaplane,1938–1946,40
Supermarine Walrus,n/a,UK,fleet spotter/utility amphibian,1943–1947,8
Vickers Viking Mk.IV,n/a,UK,patrol amphibian,1923–1931,8
Waco AQC-6,n/a,US,utility,1942–1942,1
Waco CG-15A,n/a,US,transport glider,1946–1950,1
Waco Hadrian Mk.II,n/a,US,transport glider,1944–1949,32
Waco PG-2A,n/a,US,transport,1946–1947,1
Westland Lysander,n/a,UK/Canada,army co-operation/target tug,1939–1946,329
Westland Wapiti,n/a,UK,army co-operation,1930–1944,25
