Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Curtiss-Reid Rambler,n/a,Canada,trainer/utility,1929–1954,9
Dassault Falcon,CC-117,France,VIP transport,1967–1989,8
de Havilland Comet,n/a,UK,transport,1953–1965,2
de Havilland Dragonfly,n/a,UK,transport,1940–1945,6
de Havilland Fox Moth,n/a,Canada,transport,1941–1945,1
de Havilland Genet Moth,n/a,UK,role,1928–1932,2
de Havilland Hawk Moth,n/a,UK,transport,1929–1935,3
de Havilland Menasco Moth,n/a,Canada,trainer,1941–1947,136
de Havilland Mosquito,n/a,UK/Canada,bomber/fighter-bomber,1943–1951,444
De Havilland Moth,n/a,UK,trainer,1928–1948,89
de Havilland Puss Moth,n/a,UK,transport,1931–1944,19
de Havilland Sea Hornet,n/a,UK,fighter,1948–1948,1
de Havilland DH.82C Tiger Moth,n/a,Canada,trainer,1938–1948,1410
de Havilland Vampire,n/a,UK,fighter,1946–1958,86
de Havilland Canada Buffalo,CC-115,Canada,transport,1967–current,15
de Havilland Canada Caribou,CC-108,Canada,transport,1960–1971,9
de Havilland Canada Chipmunk,CT-120,Canada,elementary trainer,1948–1972,100
de Havilland Canada Dash 7,CC-132,Canada,transport,1979–1987,2
De Havilland Canada Dash-8,CT-142,Canada,transport/trainer,1989–current,6
de Havilland Canada Otter,CSR-123,Canada,transport,1953–1984,69
de Havilland Canada Twin Otter,CC-138,Canada,transport,1971–current,9
