Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Hiller Nomad,CH-112,US,utility helicopter,1961–1973,27
IAI Heron,CU-170,Israel,UAV,2008–current,2+
Keystone Puffer,n/a,US,crop duster/utility,1927–1934,2
Lockheed Arcturus,CP-140A,US,training/reconnaissance,1992–current,3
Lockheed Aurora,CP-140,US,maritime patrol,1980–current,18
Lockheed Electra,n/a,US,transport,1939–1946,15
Lockheed Electra Junior,n/a,US,transport,1940–1945,10
Lockheed Hercules,CC-130,US,transport,1960–current,61
Lockheed Hudson,n/a,US,bomber,1939–1948,247
Lockheed Lodestar,n/a,US,transport,1943–1948,18
Lockheed Model 212,n/a,US,transport,1940–1946,1
Lockheed Neptune,CP-122,US,maritime patrol,1955–1970,25
Lockheed Shooting Star/Silver Star,n/a,US,trainer,1951–1955,31
Lockheed Starfighter,CF-104,US,fighter,1962–1986,39
Lockheed Starlifter,CC-141,US,transport,cancelled,0
Lockheed Ventura,n/a,US,maritime patrol/target tug,1942–1947,286
Martin Baltimore,n/a,US,bomber,1942–1942,1
Martinsyde F6,n/a,UK,fighter,1922–1925,1
MBB/Kawasaki BK 117,CH-143,Germany/Japan,utility helicopter,1989–1990,1
McDonnell Douglas CF-18 Hornet,CF-188,US,fighter,1982–current,138
McDonnell Voodoo,CF-101,US,interceptor,1963–1990,66
