Name,1968 CFdesignator,Place ofmanufacture,Primaryrole(s),Serviceperiod,#used
Douglas Boston,n/a,US,bomber,1941–1945,3
Douglas Dakota,CC-129,US,transport,1943–1990,169
Douglas Digby,n/a,US,bomber,1939–1946,20
Douglas MO-2B,n/a,US,utility/patrol,1927–1930,1
EADS Eagle 1,CU-160,Netherlands,UAV,2003–2003,1
ELBIT Skylark,CU-168,Israel,UAV,2006–current,5
Fairchild 51 & 51A,n/a,US/Canada,transport,1930–1946,9
"Fairchild 71, 71B & 71C",n/a,US/Canada,transport,1929–1942,23
Fairchild Argus,n/a,US,utility,1940–1945,2
Fairchild Cornell,n/a,US,elementary trainer,1942–1948,1555
"Fairchild FC-2, 2L & 2W",n/a,US/Canada,transport,1927–1938,27
Fairchild KR-34,n/a,US,utility,1930–1936,1
Fairchild Super 71,n/a,Canada,transport,1936–1940,2
Fairchild Flying Boxcar,n/a,US,transport,1952–1967,35
Fairey IIIC & IIIF,n/a,UK,bomber,1920–1930,2
Fairey Albacore,n/a,UK,torpedo bomber,1943–1949,6
Fairey Battle,n/a,UK,bomber/trainer/target tug,1939–1946,740
Fairey Swordfish Mk.II & III,n/a,UK,torpedo bomber,1943–1947,105
Felixstowe F.3,n/a,UK,patrol flying boat,1921–1923,11
Fleet Fawn,n/a,Canada,elementary trainer,1931–1947,51
Fleet Finch,n/a,Canada,elementary trainer,1939–1947,431
