Pos,Rider,Manufacturer,Time/Retired,Points,Extra_Data_1,Irrelevant_2
22,Yasumasa Hatakeyama,Honda,+1:34.039,,69,XJE7tC
23,Franco Battaini,Aprilia,+1:34.363,,726,REDQDs8
24,Sete Gibernau,Honda,+1:34.931,,115,hPMni8Tt
25,Christian Boudinot,Aprilia,+1:41.263,,773,rXZnAoc
26,José Barresi,Yamaha,+1 Lap,,816,H91ADgTD
27,Roberto Rolfo,Aprilia,+1 Lap,,476,0XNg3b
28,Cristophe Cogan,Honda,+1 Lap,,691,m7Esi
Ret,Gianluigi Scalvini,Honda,Retirement,,40,jBt3w7
Ret,Roberto Locatelli,Aprilia,Retirement,,814,vDrfO6
Ret,Takeshi Tsujimura,Honda,Retirement,,223,3Ws4GK7S
