Year,Laetare Medalist,Position,Year,Laetare Medalist,Position,Unused_1,Random_Column_2
1883,John Gilmary Shea,Historian,1949,Irene Dunne Griffin,Actress,,GBBNmU
1884,Patrick Charles Keely,Architect,1950,General Joseph L. Collins,Soldier,,l5Td0c
1885,Eliza Allen Starr,Art Critic,1951,John Henry Phelan,Philanthropist,,qk1Ug
1886,General John Newton,Engineer,1952,Thomas E. Murray,Member of the U.S. Atomic Energy Commission,,HxHFc6bA
1887,Edward Preuss,Publicist,1953,I.A. O'Shaughnessy,Philanthropist,,jn8x9
1888,Patrick V. Hickey,Founder and Editor of The Catholic Review,1954,Jefferson Caffery,Diplomat,,AMHu38qP
1889,Anna Hanson Dorsey,Novelist,1955,George Meany,Labor Leader,,uDVwmTa
1890,William J. Onahan,Organizer of the American Catholic Congress,1956,General Alfred M. Gruenther,Soldier,,A3cu0
1891,Daniel Dougherty,Orator,1957,Clare Boothe Luce,Diplomat,,UKKEjfR
1892,Henry F. Brownson,Philosopher and Author,1958,Frank M. Folsom,Industrialist,,E5aC7vfZ
1893,Patrick Donohue,Founder of the Boston Pilot,1959,Robert Daniel Murphy,Diplomat,,FOyDI8tG
