Year,Laetare Medalist,Position,Year,Laetare Medalist,Position
1938,Irvin William Abell,Surgeon,2004,Father J. Bryan Hehir,"President of Catholic Charities, Archdiocese of Boston"
1939,Josephine Van Dyke Brownson,Catechist,2005,Dr. Joseph E. Murray,Surgeon & Nobel Prize Winner
1940,General Hugh Aloysius Drum,Soldier,2006,Dave Brubeck,Jazz Pianist
1941,William Thomas Walsh,Journalist and Author,2007,Patrick McCartan,Chairman of the Board of Trustees
1942,Helen Constance White,Author and Teacher,2008,Martin Sheen,Actor
1943,Thomas Francis Woodlock,Editor,2009,NOT AWARDED (SEE BELOW),
1944,Anne O'Hare McCormick,Journalist,2010,Dana Gioia,Former Chairman of National Endowment for the Arts
1945,Gardiner Howland Shaw,Diplomat,2011,"Sister Mary Scullion, R.S.M., & Joan McConnon",Social Advocates
1946,Carlton J. H. Hayes,Historian and Diplomat,2012,Ken Hackett,Former President of Catholic Relief Services
1947,William G. Bruce,Publisher and Civic Leader,2013,"Sister Susanne Gallagher, S.P.Sister Mary Therese Harrington, S.H.Rev. James H. McCarthy",Founders of S.P.R.E.D. (Special Religious Education Development Network)
1948,Frank C. Walker,Postmaster General and Civic Leader,2014,Kenneth R. Miller,Professor of Biology at Brown University
