Year,Laetare Medalist,Position,Year,Laetare Medalist,Position
1927,Margaret Anglin,Actress,1993,Donald R. Keough,Chairman Emeritus of the Board of Trustees
1928,John Johnson Spaulding,Lawyer,1994,Sidney Callahan,Educator and Journalist
1929,Alfred Emmanuel Smith,Statesman,1995,Joseph Cardinal Bernardin,Archbishop of Chicago
1930,Frederick Philip Kenkel,Publicist,1996,Sister Helen Prejean,Death Penalty Abolitionist
1931,James J. Phelan,Businessman,1997,Rev. Virgilio Elizondo,Theologian and Activist
1932,Stephen J. Maher,Physician,1998,Dr. Edmund D. Pellegrino,Medical Ethicist and Educator
1933,John McCormack,Artist,1999,Philip Gleason,"Professor Emeritus of History, Notre Dame"
1934,Genevieve Garvan Brady,Philanthropist,2000,Andrew McKenna,Chairman of the Board of Trustees
1935,Francis Hamilton Spearman,Novelist,2001,Msgr. George G. Higgins,Priest and Labor Activist
1936,Richard Reid,Journalist and Lawyer,2002,Father John Smyth,Executive Director of Maryville Academy
1937,Jeremiah D. M. Ford,Scholar,2003,Peter and Margaret O'Brien Steinfels,Editors of Commonweal
