Year,Laetare Medalist,Position,Year,Laetare Medalist,Position,Extra_Data_1,Random_Column_2
1894,Augustin Daly,Theatrical Producer,1960,George N. Shuster,Educator,364,fX5iZ9oA
1895,Mary Anne Sadlier,Novelist,1961,John F. Kennedy,President of the United States,961,ql6B4
1896,General William Starke Rosencrans,Soldier,1962,Francis J. Braceland,Psychiatrist,699,G3b7sL
1897,Thomas Addis Emmet,Physician,1963,"Admiral George Whelan Anderson, Jr.",Chief of Naval Operations,651,2bgLP7
1898,Timothy Edward Howard,Jurist,1964,Phyllis McGinley,Poet,69,osQbNbC
1899,Mary Gwendolin Caldwell,Philanthropist,1965,Frederick D. Rossini,Scientist,571,cQTJN3Fc
1900,John A. Creighton,Philanthropist,1966,Patrick F. & Patricia Caron Crowley,Founders of The Christian Movement,158,u7wOBG0
1901,William Bourke Cockran,Orator,1967,J. Peter Grace,Industrialist,755,UNqF4ccb
1902,John Benjamin Murphy,Surgeon,1968,Robert Sargent Shriver,Diplomat,388,qSWDmH
1903,Charles Jerome Bonaparte,Lawyer,1969,William J. Brennan Jr.,Associate Justice of the Supreme Court,957,vHF20
1904,Richard C. Kerens,Diplomat,1970,Dr. William B. Walsh,Physician,405,MwCSJZOg
