Year,Laetare Medalist,Position,Year,Laetare Medalist,Position,Irrelevant_1
1905,Thomas B. Fitzpatrick,Philanthropist,1971,Walter Kerr & Jean Kerr,Drama Critic and Author,EkAhC
1906,Francis J. Quinlan,Physician,1972,Dorothy Day,Founder of the Catholic Worker Movement,IUCQMvM
1907,Katherine Eleanor Conway,Journalist and Author,1973,Rev. John A. O'Brien,Author,jXLz2fGr
1908,James C. Monaghan,Economist,1974,James A. Farley,Business Executive and Former Postmaster General,FvVtD
1909,Frances Tieran (Christian Reid),Novelist,1975,"Sr. Ann Ida Gannon, BMV",President of Mundelein College,WgOxaU
1910,Maurice Francis Egan,Author and Diplomat,1976,Paul Horgan,Author,nZODEw
1911,Agnes Repplier,Author,1977,Mike Mansfield,Former Senate Majority Leader,M1ofaDK
1912,Thomas M. Mulry,Philanthropist,1978,Msgr. John Tracy Ellis,Church Historian,4ImBMP6P
1913,Charles George Herbermann,Editor of the Catholic Encyclopedia,1979,Helen Hayes,Actress,Ihevm9
1914,Edward Douglass White,Chief Justice of the United States,1980,Thomas P. (Tip) O'Neill Jr.,Speaker of the House,NWkTAa
1915,Mary V. Merrick,Philanthropist,1981,Edmund Sixtus Muskie,Secretary of State,9qD9vZ
