Rank,Nation,Gold,Silver,Bronze,Total,Random_Column_1,Filler_2,Noise_Field_3
1,France,28,28,24,80,myUJ2hg6,eEpEB,swhlWoR
2,Romania,16,3,5,24,8DYUp,vCEQOD,xxSXe
3,Canada,14,10,15,39,YJ8keJ,ryowqA,TQMBIE
4,Quebec,8,4,16,28,JfDdh,LedLUve,cWdPjL
5,Morocco,6,11,7,24,t9o8Dkd,XCOUfk,kVBKa
6,Tunisia,4,7,1,12,HTyGLw,pverDv,UimPYNM
7,Egypt,2,5,4,11,pSiETvO,WoEcqV,JlVwz
8,Switzerland,2,1,5,8,vW2jJbhm,tNKKPspr,UCPIa
9,Senegal,2,1,3,6,uDTFrH,YkwsVGCm,MonlGFR
10,French Community of Belgium,1,3,6,10,IFSc47tk,EgSkbri,xeYbP
11,Madagascar,1,2,3,6,gg336,JHCTXXLg,orJSHQC
12,Burkina Faso,1,-,2,3,f4zHA,IEXcQ,bAaPOKu
13,Togo,1,-,1,2,NhIVvPD,pNDKF,bwSWsTVX
14,Guinea,1,-,-,1,7BOO6,ZMvIxOf,doMpaLS
