Week,Start Date,Type,Tournament,Surface,Town,Country,Continent,Prize Money
35,October 24,Premier WTA TourChampionships,Sony Ericsson Championships - Istanbul 2011,Hard,Istanbul,Turkey,Europe,"$4,550,000"
8,March 7,Premier Mandatory,BNP Paribas Open,Hard,Indian Wells,United States,North America,"$4,500,000"
9,March 21,Premier Mandatory,Sony Ericsson Open,Hard,Key Biscayne,United States,North America,"$4,500,000"
13,May 2,Premier Mandatory,Mutua Madrileña Madrid Open,Clay,Madrid,Spain,Europe,"$4,500,000"
32,October 3,Premier Mandatory,China Open,Hard,Beijing,China,Asia,"$4,500,000"
5,February 14,Premier 5,Dubai Duty Free Tennis Championships,Hard,Dubai,United Arab Emirates,Asia,"$2,000,000"
6,February 21,Premier 5,Qatar Ladies Open,Hard,Doha,Qatar,Asia,"$2,168,400"
14,May 9,Premier 5,Internazionali BNL d'Italia,Clay,Rome,Italy,Europe,"$2,000,000"
25,August 8,Premier 5,Rogers Cup presented by National Bank,Hard,Montreal,Canada,North America,"$2,000,000"
26,August 15,Premier 5,Western & Southern Financial Group Women's Open,Hard,Cincinnati,United States,North America,"$2,000,000"
31,September 26,Premier 5,Toray Pan Pacific Open,Hard,Tokyo,Japan,Asia,"$2,000,000"
