Week,Start Date,Type,Tournament,Surface,Town,Country,Continent,Prize Money
11,April 18,International,Grand Prix De SAR La Princesse Lalla Meryem,Clay,Fes,Morocco,Africa,"$220,000"
12,April 25,International,Barcelona Ladies Open,Clay,Barcelona,Spain,Europe,"$220,000"
12,April 25,International,Estoril Open,Clay,Estoril,Portugal,Europe,"$220,000"
15,May 16,International,Internationaux de Strasbourg,Clay,Strasbourg,France,Europe,"$220,000"
17,June 6,International,e-Boks Sony Ericsson Open,Hard,Copenhagen,Denmark,Europe,"$220,000"
17,June 6,International,Aegon Classic,Grass,Birmingham,United Kingdom,Europe,"$220,000"
18,June 13,International,UNICEF Open,Grass,'s-Hertogenbosch,Netherlands,Europe,"$220,000"
20,July 4,International,Collector Swedish Open Women,Clay,Båstad,Sweden,Europe,"$220,000"
20,July 7,International,Bucharest Open,Clay,Bucharest,Romania,Europe,"$250,000"
21,July 11,International,Internazionali Femminili di Palermo,Clay,Palermo,Italy,Europe,"$220,000"
