Week,Start Date,Type,Tournament,Surface,Town,Country,Continent,Prize Money
1,January 1,International,Shenzhen Open,Hard,Shenzhen,China,Asia,"$500,000"
1,January 3,International,Brisbane International,Hard,Brisbane,Australia,Oceania,"$220,000"
1,January 3,International,ASB Classic,Hard,Auckland,New Zealand,Oceania,"$220,000"
2,January 10,International,Moorilla Hobart International,Hard,Hobart,Australia,Oceania,"$220,000"
4,February 7,International,PTT Pattaya Open,Hard,Pattaya City,Thailand,Asia,"$220,000"
5,February 14,International,Memphis International,Hard (I),Memphis,United States,North America,"$220,000"
5,February 14,International,XIX COPA BBVA COLSANITAS,Clay,Bogotá,Colombia,South America,"$220,000"
6,February 21,International,Abierto Mexicano TELCEL presentado por HSBC,Clay,Acapulco,Mexico,North America,"$220,000"
7,February 28,International,Malaysian Open 2011,Hard,Kuala Lumpur,Malaysia,Asia,"$220,000"
7,February 28,International,Monterrey Open,Hard,Monterrey,Mexico,North America,"$220,000"
10,April 4,International,Andalucia Tennis Experience,Clay,Marbella,Spain,Europe,"$220,000"
