Wager,Winner,Loser,Location,Date,Filler_1,Random_Column_2
Hair,Comando Ruso,Gran Cochisse,"Guadalajara, Jalisco",Unknown,CQFKnF,BjqxLTWN
Hair,Calavera I,Gran Cochisse,"Guadalajara, Jalisco",Unknown,WFazz,wwNfY
Hair,Gran Cochisse,Manuel Robles,"Mexico City, Mexico",Unknown,dKYYu,w6wcF1
Hair,Gran Cochisse,Bruno Victoria,"Mexico City, Mexico",Unknown,lNayszSA,7yqGVU
Hair,Gran Cochisse,El Nazi,"Mexico City, Mexico",Unknown,FAvGJkQ,FUaKoBB
Hair,Gran Cochisse,Franco Colombo,"Mexico City, Mexico",Unknown,AIEYKAvW,J88805jF
Hairs,Calavera I and Calavera II,Gran Cochisse and Águila India,"Guadalajara, Jalisco",1979,UqtkO,KOhu8BQ
Hair,Gran Cochisse,Américo Rocca,"Mexico City, Mexico","September 21, 1979",WFIZwI,dbH7y
Hair,Sangre Chicana,Gran Cochisse,"Mexico City, Mexico","October 19, 1979",nwWxNQm,cb9eaUS
Hairs,Américo Rocca and Divino Roy,Gran Cochisse and Águila India,"Mexico City, Mexico","April 3, 1981",ybdmPrZ,tbcG9G7
